matrix_id,product_id,data_field,applicable_grit,applicable_batch_or_period,data_value,unit,value_type,test_method,sampling_method,applicable_factory_or_line,valid_from,valid_until,evidence_ids,data_status,approval_status,approved_by,approval_date,confidentiality_level,external_marketing_allowed,related_gap_ids,target_repository_file,notes
PEM-011,bfa-grade-1,杂质控制,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-011,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-012,bfa-grade-1,基础理化,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-012,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-013,bfa-grade-1,物理性能,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-013,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-014,bfa-grade-1,应用边界,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-014,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-015,bfa-grade-1,产能供货,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-015,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-016,bfa-grade-1,商业交付,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-016,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-017,bfa-grade-1,筛分能力,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-017,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-018,bfa-grade-1,包装物流,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-018,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-019,bfa-grade-1,批次追溯,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-019,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-020,bfa-grade-1,受控文件,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-020,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-021,bfa-grade-1,图像资产,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-021,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-022,bfa-grade-1,客户证据,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-022,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-023,bfa-grade-2,产品定义,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-001,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-024,bfa-grade-2,分级逻辑,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-002,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-025,bfa-grade-2,生产工艺,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-003,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-026,bfa-grade-2,来源属性,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-004,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-027,bfa-grade-2,产品命名,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-005,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-028,bfa-grade-2,化学成分,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-006,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-029,bfa-grade-2,批次稳定性,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-007,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-030,bfa-grade-2,粒度能力,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-008,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-031,bfa-grade-2,执行标准,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-009,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-032,bfa-grade-2,粒度控制,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-010,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-033,bfa-grade-2,检测与抽样,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-011,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-034,bfa-grade-2,杂质控制,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-012,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-035,bfa-grade-2,基础理化,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-013,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-036,bfa-grade-2,物理性能,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-014,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-037,bfa-grade-2,应用边界,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-015,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-038,bfa-grade-2,产能供货,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-016,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-039,bfa-grade-2,商业交付,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-017,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-040,bfa-grade-2,筛分能力,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-018,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-041,bfa-grade-2,包装物流,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-019,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-042,bfa-grade-2,批次追溯,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-020,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-043,bfa-grade-2,受控文件,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-021,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-044,bfa-grade-2,图像资产,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-022,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-045,bfa-grade-2,客户证据,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G2-023,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
