source_id,source_title,source_url,domain,publisher,country,source_type,publication_date,accessed_date,applicable_product,information_category,confidence,verification_status,data_status,notes
SRC-011,Brown Fused Alumina for Abrasives & Blasting,https://www.domill.com/products/Brown-Fused-Alumina,domill.com,"Luoyang DOMILL Abrasive Technology Co., Ltd.",China,manufacturer_official_product_page,,2026-06-08,"regular, calcined and coated BFA",composition; physical properties; treatments; grits,medium,unverified,reference_only,"Access failed during source audit: repeated GET returned HTTP 503 on 2026-06-08. Domain appears company-controlled, but title and current page contents could not be independently revalidated; do not rely on its numerical claims."
SRC-012,1050 Calcined Brown Fused Alumina for Bonded Abrasives,https://www.domill.com/wp-content/uploads/2023/06/TDS-1050-Calcined-BFA-for-Bonded-Abrasives.pdf,domill.com,"Luoyang DOMILL Abrasive Technology Co., Ltd.",China,manufacturer_official_tds,,2026-06-08,1050°C calcined BFA,calcined BFA; bonded abrasives,medium,unverified,reference_only,"Access failed during source audit: repeated GET returned HTTP 503 on 2026-06-08. Domain appears company-controlled, but title and current page contents could not be independently revalidated; do not rely on its numerical claims."
SRC-013,Regular brown fused alumina,https://www.runbaoabrasives.com/en/home-product-fid-25.html,runbaoabrasives.com,"Luoyang Runbao Super Abrasives Co., Ltd.",China,manufacturer_official_product_page,,2026-06-08,regular and heat-treated BFA,1050 calcining; 1350 blue firing; shape; FEPA/GB/JIS/ANSI,medium,unverified,reference_only,"Access failed during source audit: repeated GET returned HTTP 503 on 2026-06-08. Domain appears company-controlled, but title and current page contents could not be independently revalidated; do not rely on its numerical claims."
SRC-014,镀衣磨料,https://www.ycdf.com.cn/products/Coated-Grains/,ycdf.com.cn,河南东风新材料科技有限公司,China,manufacturer_official_product_page,,2026-06-08,coated BFA and other coated alumina abrasives,镀衣/镀铱 terminology; coating technology,medium,verified,reference_only,"Official company product page. GET/title/publisher verified; page explicitly says 镀衣 is not 镀铱 and does not contain iridium. This remains a supplier statement, not an independent scientific determination. Page contact details reference domill.cn; treat DOMILL/河南东风 materials as potentially related, not independent corroboration."
SRC-015,涂附磨具用磨料,https://www.ycdf.com.cn/Coated-Abrasives/,ycdf.com.cn,河南东风新材料科技有限公司,China,manufacturer_official_application_page,,2026-06-08,P grit BFA; calcined BFA; coated BFA,coated abrasives; application grit ranges,medium,verified,reference_only,"Official company application page. GET/title/publisher and stated coated-abrasive product/grit guidance verified; guidance is supplier-specific. Page contact details reference domill.cn; treat DOMILL/河南东风 materials as potentially related, not independent corroboration."
SRC-016,镀铱棕刚玉磨料 Ceramic coated Brown Fused Alumina,https://www.hngangyu.com/gwdszgy/100.html,hngangyu.com,河南四成研磨科技有限公司（网站署名）,China,manufacturer_product_page,,2026-06-08,so-called 镀铱 BFA,terminology; ceramic coating; physical claims,medium,verified,reference_only,Official company-branded product page is accessible and uses Chinese 镀铱 while English says ceramic coated. It provides no evidence of elemental iridium; product claims remain single-supplier claims.
SRC-017,Brown Fused Alumina – Tough and Reusable Media | Minex,https://www.minexgroup.eu/en/blasting/abrasive-media/brown-fused-alumina,minexgroup.eu,Minex Group,Europe,specialist_supplier_product_page,,2026-06-08,virgin BFA blasting media,composition; density; hardness; recycling distinction,medium,verified,reference_only,"Official Minex supplier/integrator product page. Values and virgin/no-recyclate claim verified on page; Minex is treated as supplier/integrator, not BFA manufacturer."
SRC-018,Brown Aluminium Oxide - Blastrite,https://blastrite.com/products/aluminium-oxide/,blastrite.com,Blastrite,South Africa,manufacturer_distributor_official_product_page,,2026-06-08,ALCAB brown fused alumina,composition; physical properties; blasting; packaging,medium,verified,reference_only,"Official Blastrite product page. Page supports ALCAB chemistry, physical data and packaging; company site identifies Blastrite as a granular-abrasive manufacturer and distributor, not necessarily the furnace producer of this BFA."
SRC-019,Fused Alumina – Bosai Europe GmbH – Lübeck,https://www.bosaieurope.de/en/our-products/corundum/index.html,bosaieurope.de,Bosai Europe GmbH,Germany / China origin,producer_group_official_product_page,,2026-06-08,refractory/abrasive BFA,composition; sizing; packaging; origin,high,verified,reference_only,"Official Bosai Europe technical product page. Values, Chinese own-production origin, applications and packaging verified; Bosai Europe is recorded as a group sales entity/supplier."
SRC-020,Brown Fused Alumina - Brown fused alumina-Haixu Abrasives,https://brownalumina.com/product/brown-fused-alumina/,brownalumina.com,"Zhengzhou Haixu Abrasives Co., Ltd.",China,manufacturer_official_product_page,,2026-06-08,A/B/C grade BFA,grade terminology; composition; physical properties; grits,medium,verified,reference_only,"Official Haixu company product page. A/B/C grade values are visible but are supplier-defined commercial classes, not international standards."
SRC-021,Brown Fused Alumina | High-Grade Abrasive | Aluminum Oxide,https://www.korund.pl/en/products/brown-fused-alumina/,korund.pl,KORUND,Poland,manufacturer_supplier_official_product_page,,2026-06-08,BFA,composition; density; hardness; applications,medium,verified,reference_only,"Official KORUND product page. Chemistry, density, hardness and applications verified; page does not establish KORUND as the furnace producer, so identity is supplier."
SRC-022,Home - USEM,https://usminerals.com/home,usminerals.com,U.S. Electrofused Minerals / Curimbaba Group,United States / Brazil group,manufacturer_group_official_site,,2026-06-08,BFA,company; industries; standards,medium,verified,reference_only,Official U.S. Electrofused Minerals homepage. It states USEM distributes Elfusa products and manufactures industrial mineral grains/powders; group/subsidiary product origin must not be conflated.
SRC-023,Heat Treated Brown Fused Alumina for bonded abrasives BTCAL,https://usminerals.com/files/produtosAtualizadosPDF/BFA%20-%20Brown%20Fused%20Alumina%20-%20Bonded%20%26%20Industrial%20Abrasives%20-%20BTCAL-R.pdf,usminerals.com,U.S. Electrofused Minerals / Elfusa,United States / Brazil,manufacturer_official_tds,,2026-06-08,heat-treated BFA,composition; treatment; bonded abrasives,high,verified,reference_only,"Official BTCAL TDS hosted by USEM and branded Curimbaba/Elfusa context. PDF verifies heat treatment, typical XRF values, physical values and treatment variants; product origin should not be attributed solely to USEM."
SRC-024,Manufactured Abrasives Statistics and Information,https://www.usgs.gov/centers/nmic/manufactured-abrasives-statistics-and-information,usgs.gov,U.S. Geological Survey,United States,government_statistics_portal,,2026-06-08,fused aluminum oxide and manufactured abrasives,market; supply; uses; properties,high,verified,reference_only,Official USGS information portal. Supports broad manufactured-abrasives context; not BFA-specific market statistics.
SRC-025,Mineral Commodity Summaries 2024 - Abrasives (Manufactured),https://pubs.usgs.gov/periodicals/mcs2024/mcs2024-abrasives.pdf,pubs.usgs.gov,U.S. Geological Survey,United States,government_report,2024-01,2026-06-08,fused aluminum oxide,US production/trade; source countries; recycling,high,verified,reference_only,"Official USGS report. Statistics aggregate fused aluminum oxide, not BFA alone; 2019–2022 import-source percentages and >95% net import reliance verified in PDF."
SRC-026,Commission acts against unfairly traded imports of fused alumina,https://policy.trade.ec.europa.eu/news/commission-acts-against-unfairly-traded-imports-fused-alumina-2026-01-16_en,policy.trade.ec.europa.eu,"European Commission, DG Trade and Economic Security",European Union,government_official_news,2026-01-16,2026-06-08,fused alumina,EU trade measures; supply chain; producing regions,high,verified,reference_only,"Official European Commission news page. 2026 trade measure, EU aggregate fused-alumina volume/import estimates and producing countries verified; scope is broader than BFA."
SRC-027,"Abrasives, Manufactured 2018 Minerals Yearbook",https://pubs.usgs.gov/myb/vol1/2018/myb1-2018-abrasives.pdf,pubs.usgs.gov,U.S. Geological Survey,United States,government_yearbook,2022,2026-06-08,fused aluminum oxide,historical production countries; applications,high,verified,reference_only,"Official USGS historical yearbook. 2018 production/capacity statements are historical and cover fused aluminum oxide, not BFA alone."
SRC-028,国家标准 - 全国标准信息公共服务平台,https://std.samr.gov.cn/gb/search/gbDetailed?id=3B46A026CC16469CE06397BE0A0AEEB8,std.samr.gov.cn,国家市场监督管理总局 / 全国标准信息公共服务平台,China,government_standard_record,2025-08-01,2026-06-08,bonded abrasive macrogrits,China GB grit standard,high,verified,reference_only,"Official record for GB/T 2481.1-2025, 固结磨具用磨料 粒度组成的检测和标记 第1部分：粗磨粒F4～F220. Effective 2026-02-01 and replaces withdrawn GB/T 2481.1-1998; no full standard copied."
SRC-029,Brown Fused Aluminum Oxide Safety Data Sheet,https://www.washingtonmills.com/sites/default/files/2025-05/Brown%20Fused%20Aluminum%20Oxide_US%20SDS%20%5BEN%5D.pdf,washingtonmills.com,Washington Mills,United States,manufacturer_official_sds,2025-05-14,2026-06-08,brown fused aluminum oxide,identity; synonyms; safety,high,verified,reference_only,"Official Washington Mills SDS. PDF title, revision date and product identity/synonyms verified; not a performance specification."
