conclusion_id,conclusion,conclusion_type,product,source_type,source_ids,internal_data_fields,confidence,status,limitations,review_required
MP-C11,喷砂、除锈和表面预处理是 BFA 的公开应用方向,application_reference,一级；二级,public,SRC-008;SRC-010;SRC-017;SRC-018,applications.abrasive_blasting;applications.rust_removal;applications.surface_preparation,medium,reference_only,我方污染、粉尘和循环表现待测,yes
MP-C12,精密铸造件清理有公开依据，但不等于壳型材料用途,application_reference,一级；二级,public,SRC-010,applications.investment_casting,medium,reference_only,具体工艺和我方适配待验证,yes
MP-C13,耐火材料/浇注料是公开应用方向，具体 mm 分段仅为供应商示例,application_reference,一级；二级,public,SRC-008;SRC-019;SRC-021,applications.refractories;applications.castables;grit_sizes,medium,reference_only,我方段砂、成分和配方适配待确认,yes
MP-C14,耐磨地坪和防滑骨料仅保留为低置信研究线索,application_hypothesis,一级；二级,public,,applications.wear_resistant_flooring;applications.anti_slip_aggregate,low,pending,现有研究无直接可靠来源支持详细选择结论,yes
MP-C15,应用矩阵不提供具体推荐粒度，均须按客户规格和企业能力确认,data_control,四类,internal_and_public,SRC-001;SRC-002;SRC-003;SRC-004;SRC-005;SRC-006;SRC-028,grit_sizes;standards,high,pending,标准入口证明体系存在，不证明我方可供范围,yes
MP-C16,一级当前生产、当前可销售,lifecycle_fact,一级,internal,,product_status;technical_status,high,confirmed,不等于技术/商业字段均确认,yes
MP-C17,二级当前生产、当前可销售,lifecycle_fact,二级,internal,,product_status;technical_status,high,confirmed,不等于技术/商业字段均确认,yes
MP-C18,煅烧和表面处理产品属于未来计划，当前不可销售,lifecycle_fact,煅烧；表面处理,internal,,product_status;technical_status;future_product_details,high,confirmed,上线条件和时间仍 pending,yes
MP-C19,Iridium-coated Corundum 当前不得作为正式名称,naming_control,表面处理,internal_and_public,SRC-014;SRC-016,future_product_details.surface_treatment_material;naming_note,high,pending,公开资料冲突，是否含 Ir 未确认,yes
MP-C20,Emery 和 Diamond Sand 不应作为 BFA 默认英文同义词,terminology_control,四类,public,SRC-009,,high,reference_only,需按具体材料语境判断,yes
MP-C21,产品竞争应按规格、用途、处理和证明能力分层，不按企业规模排名,competitive_framework,四类,public,SRC-008;SRC-009;SRC-010;SRC-019;SRC-020;SRC-021;SRC-023,,medium,reference_only,框架为本次分析综合判断,yes
MP-C22,当前没有证据确定任何产品为利润型产品,commercial_gap,四类,internal,,commercial_data;production_capacity;lead_time,high,pending,未研究价格且成本/毛利缺失,yes
MP-C23,煅烧品商业化须完成设备、工艺、A/B、稳定性和客户验证,stage_gate,煅烧,internal_and_public,SRC-023,future_product_details;documents;commercial_data,high,pending,门槛框架待管理层批准,yes
MP-C24,表面处理品商业化须完成材料/SDS、相容性、储存和客户验证,stage_gate,表面处理,internal_and_public,SRC-009;SRC-014;SRC-015,future_product_details;documents;commercial_data,high,pending,门槛框架待管理层批准,yes
MP-C25,正式推广前应先完成 Phase 2 P0 企业数据补充,next_step,四类,internal,,missing_fields;documents;commercial_data,high,pending,本模块不是最终商业承诺,yes
